affiliation_key,canonical_affiliation,organisation,country,country_code,geocode_status,latitude,longitude,geocode_source,variant_count,attendee_count,in_delegate_list,in_programme,sources,name_variants,needs_review,review_reason,primary_organisation,secondary_organisation,redirect_to_affiliation_key,plot_on_map
icrs-a-00045,BRANCH Applications BV / Foundation,BRANCH Applications BV / Foundation,Netherlands,NL,fallback,52.3676,4.9041,capital_fallback,1,2,True,False,delegate_list;geocode_csv,"BRANCH Applications BV / Foundation, Netherlands",False,,BRANCH Applications BV / Foundation,,,True
icrs-a-00046,BRANCH Foundation,BRANCH Foundation,Netherlands,NL,ok,52.1024151,5.0830658,geocode_csv,1,1,True,False,delegate_list;geocode_csv,"BRANCH Foundation, Netherlands",False,,BRANCH Foundation,,,True
icrs-a-00047,Brin,Brin,Indonesia,ID,fallback,-6.2088,106.8456,capital_fallback,1,1,True,True,delegate_list;geocode_csv;programme,"Brin, Indonesia",False,,Brin,,,True
icrs-a-00048,Bureau of Meteorology,Bureau of Meteorology,Australia,AU,fallback,-35.2809,149.13,capital_fallback,1,1,True,True,delegate_list;geocode_csv;programme,"Bureau of Meteorology, Australia",False,,Bureau of Meteorology,,,True
icrs-a-00049,Byoguides,Byoguides,Australia,AU,fallback,-35.2809,149.13,capital_fallback,1,1,True,False,delegate_list;geocode_csv,"Byoguides, Australia",False,,Byoguides,,,True
icrs-a-00050,California Academy of Sciences,California Academy of Sciences,Australia,AU,fallback,-35.2809,149.13,capital_fallback,1,1,True,True,delegate_list;geocode_csv;programme,"California Academy of Sciences, Australia",False,,California Academy of Sciences,,,True
icrs-a-00051,California Academy of Sciences,California Academy of Sciences,United States,US,ok,37.7698646,-122.4660947,geocode_csv,1,5,True,True,delegate_list;geocode_csv;programme,"California Academy of Sciences, United States",False,,California Academy of Sciences,,,True
icrs-a-00052,California State Polytechnic University,California State Polytechnic University,United States,US,ok,34.0596172,-117.8240278,geocode_csv,1,1,True,True,delegate_list;geocode_csv;programme,"California State Polytechnic University, United States",False,,California State Polytechnic University,,,True
icrs-a-00053,California State University Monterey Bay,California State University Monterey Bay,United States,US,ok,36.653712,-121.7989787,geocode_csv,1,2,True,True,delegate_list;geocode_csv;programme,"California State University Monterey Bay, United States",False,,California State University Monterey Bay,,,True
icrs-a-00054,California State University Northridge,California State University Northridge,United States,US,ok,34.2425448,-118.5290922,geocode_csv,1,1,True,True,delegate_list;geocode_csv;programme,"California State University Northridge, United States",False,,California State University Northridge,,,True
icrs-a-00055,"California State University, Monterey Bay And Moss","California State University, Monterey Bay And Moss",United States,US,ok,36.653712,-121.7989787,geocode_csv,1,1,True,True,delegate_list;geocode_csv;programme,"California State University, Monterey Bay And Moss, United States",False,,"California State University, Monterey Bay And Moss",,,True
icrs-a-00056,California State University,California State University,United States,US,fallback,38.5816,-121.4944,capital_fallback,1,1,True,True,delegate_list;geocode_csv;programme,"California State University, United States",False,,California State University,,,True
icrs-a-00057,Camphora Pte Ltd,Camphora Pte Ltd,Singapore,SG,fallback,1.3521,103.8198,capital_fallback,1,3,True,False,delegate_list;geocode_csv,"Camphora Pte Ltd, Singapore",False,,Camphora Pte Ltd,,,True
icrs-a-00058,Cape Eleuthera Institute,Cape Eleuthera Institute,Bahamas,BS,ok,24.8294798,-76.3281061,geocode_csv,1,3,True,True,delegate_list;geocode_csv;programme,"Cape Eleuthera Institute, Bahamas",False,,Cape Eleuthera Institute,,,True
icrs-a-00059,Caraga State University / National Sun Yat-sen,Caraga State University / National Sun Yat-sen,Philippines,PH,fallback,14.5995,120.9842,capital_fallback,1,2,True,True,delegate_list;geocode_csv;programme,"Caraga State University / National Sun Yat-sen, Philippines",False,,Caraga State University / National Sun Yat-sen,,,True
icrs-a-00060,Carl Von Ossietzky University of Oldenburg,Carl Von Ossietzky University of Oldenburg,Germany,DE,ok,53.1467333,8.183124,geocode_csv,1,1,True,True,delegate_list;geocode_csv;programme,"Carl Von Ossietzky University of Oldenburg, Germany",False,,Carl Von Ossietzky University of Oldenburg,,,True
icrs-a-00061,Carl-von-Ossietzky University of Oldenburg,Carl-von-Ossietzky University of Oldenburg,Germany,DE,ok,53.1467333,8.183124,geocode_csv,1,1,True,True,delegate_list;geocode_csv;programme,"Carl-von-Ossietzky University of Oldenburg, Germany",False,,Carl-von-Ossietzky University of Oldenburg,,,True
icrs-a-00062,Catholic University of Korea,Catholic University of Korea,South Korea,KR,ok,37.5857654,127.0048121,geocode_csv,1,1,True,False,delegate_list;geocode_csv,"Catholic University of Korea, South Korea",False,,Catholic University of Korea,,,True
icrs-a-00063,Cawthron Institute,Cawthron Institute,New Zealand,NZ,fallback,-41.2865,174.7762,capital_fallback,1,0,False,True,programme,Cawthron Institute,False,,Cawthron Institute,,,True
icrs-a-00064,Cefas,Cefas,United Kingdom,GB,fallback,51.5074,-0.1278,capital_fallback,1,2,True,True,delegate_list;geocode_csv;programme,"Cefas, United Kingdom",False,,Cefas,,,True
icrs-a-00065,Center for Marine and Environmental Studies,Center for Marine and Environmental Studies,United States Virgin Islands,VI,fallback,18.3419,-64.9307,capital_fallback,1,1,True,True,delegate_list;geocode_csv;programme,"Center for Marine and Environmental Studies, United States Virgin Islands",False,,Center for Marine and Environmental Studies,,,True
icrs-a-00066,Center For Research And Advanced Studies Ipn-mérida Unit,Center For Research And Advanced Studies Ipn-mérida Unit,Mexico,MX,fallback,19.4326,-99.1332,capital_fallback,1,0,False,True,programme,Center For Research And Advanced Studies Ipn-mérida Unit,False,,Center For Research And Advanced Studies Ipn-mérida Unit,,,True
icrs-a-00067,Center For Research And Advanced Studies Ipn-mérida,Center For Research And Advanced Studies Ipn-mérida,Mexico,MX,ok,20.9673702,-89.5925857,geocode_csv,1,1,True,False,delegate_list;geocode_csv,"Center For Research And Advanced Studies Ipn-mérida, Mexico",False,,Center For Research And Advanced Studies Ipn-mérida,,,True
icrs-a-00068,Central Provincial Administrations,Central Provincial Administrations,Papua New Guinea,PG,fallback,-9.4438,147.1803,capital_fallback,1,1,True,False,delegate_list;geocode_csv,"Central Provincial Administrations, Papua New Guinea",False,,Central Provincial Administrations,,,True
icrs-a-00069,Central Queensland University,Central Queensland University,Australia,AU,ok,-23.3242441,150.5189056,geocode_csv,1,1,True,True,delegate_list;geocode_csv;programme,"Central Queensland University, Australia",False,,Central Queensland University,,,True
icrs-a-00070,Centre de recherche du CHU de Québec-Université Laval,Centre de recherche du CHU de Québec-Université Laval,Canada,CA,ok,46.779197,-71.274742,geocode_csv,1,1,True,False,delegate_list;geocode_csv,"Centre de recherche du CHU de Québec-Université Laval, Canada",False,,Centre de recherche du CHU de Québec-Université Laval,,,True
icrs-a-00071,Centre de Recherches Insulaires et Observatoire de l'Environnement de Moorea,Centre de Recherches Insulaires et Observatoire de l'Environnement de Moorea,French Polynesia,PF,ok,-17.5388435,-149.8295234,geocode_csv,1,1,True,True,delegate_list;geocode_csv;programme,"Centre de Recherches Insulaires et Observatoire de l'Environnement de Moorea, French Polynesia",False,,Centre de Recherches Insulaires et Observatoire de l'Environnement de Moorea,,,True
icrs-a-00072,Centre for Scientific Research and Higher Education of Ensenada,"Centre for Scientific Research and Higher Education of Ensenada, Mexico",Mexico,MX,ok,31.8675086,-116.6652197,geocode_csv,4,2,True,True,delegate_list;display_alias;geocode_csv;programme,"Centre for Scientific Research and Higher Education of Ensenada; Centre for Scientific Research and Higher Education of Ensenada Ensenada; Centre for Scientific Research and Higher Education of Ensenada Ensenada, Mexico; Centre for Scientific Research and Higher Education of Ensenada, Mexico",False,,"Centre for Scientific Research and Higher Education of Ensenada, Mexico",,,True
icrs-a-00073,Centre Scientifique de Monaco,"Centre Scientifique de Monaco, France",France,FR,ok,43.7328381,7.4252867,geocode_csv,3,1,True,False,delegate_list;display_alias;geocode_csv,"Centre Scientifique de Monaco; Centre Scientifique de Monaco, France; Centre Scientifique de Monaco, Monaco",False,,"Centre Scientifique de Monaco, France",,,True
icrs-a-00074,Centre Scientifique de Monaco,"Centre Scientifique de Monaco, France",Monaco,MC,ok,43.7328381,7.4252867,geocode_csv,1,5,True,True,delegate_list;geocode_csv;programme,"Centre Scientifique de Monaco, Monaco",False,,"Centre Scientifique de Monaco, France",,,True
icrs-a-00075,Centro de Ciências do Mar do Algarve,"Centro de Ciências do Mar do Algarve, Portugal",Portugal,PT,ok,37.0435555,-7.9697642,geocode_csv,3,1,True,True,delegate_list;display_alias;geocode_csv;programme,"Centro de Ciencias do Mar do Algarve; Centro de Ciências do Mar do Algarve; Centro de Ciências do Mar do Algarve, Portugal",False,,"Centro de Ciências do Mar do Algarve, Portugal",,,True
icrs-a-00076,Centro de Investigaciones Biológicas del Noroeste,"Centro de Investigaciones Biológicas del Noroeste, Mexico",Mexico,MX,ok,24.1357979,-110.4262387,geocode_csv,3,1,True,True,delegate_list;display_alias;geocode_csv;programme,"Centro de Investigaciones Biologicas del Noroeste; Centro de Investigaciones Biológicas del Noroeste; Centro de Investigaciones Biológicas del Noroeste, Mexico",False,,"Centro de Investigaciones Biológicas del Noroeste, Mexico",,,True
icrs-a-00077,Centro Interdisciplinario de Ciencias marinas,Centro Interdisciplinario de Ciencias marinas,Mexico,MX,ok,24.140896,-110.3509768,geocode_csv,1,1,True,True,delegate_list;geocode_csv;programme,"Centro Interdisciplinario de Ciencias marinas, Mexico",False,,Centro Interdisciplinario de Ciencias marinas,,,True
icrs-a-00078,Charles Darwin Foundation,Charles Darwin Foundation,Ecuador,EC,ok,-0.7424663,-90.3041677,geocode_csv,1,1,True,True,delegate_list;geocode_csv;programme,"Charles Darwin Foundation, Ecuador",False,,Charles Darwin Foundation,,,True
icrs-a-00079,Chinese University of Hong Kong,Chinese University of Hong Kong,Hong Kong,HK,ok,22.419625,114.2067606,geocode_csv,1,4,True,True,delegate_list;geocode_csv;programme,"Chinese University of Hong Kong, Hong Kong",False,,Chinese University of Hong Kong,,,True
icrs-a-00080,Chulalongkorn University,Chulalongkorn University,Thailand,TH,ok,13.7385647,100.5321342,geocode_csv,1,3,True,True,delegate_list;geocode_csv;programme,"Chulalongkorn University, Thailand",False,,Chulalongkorn University,,,True
icrs-a-00081,Chungnam National University,Chungnam National University,South Korea,KR,ok,36.3669174,127.346504,geocode_csv,1,1,True,True,delegate_list;geocode_csv;programme,"Chungnam National University, South Korea",False,,Chungnam National University,,,True
icrs-a-00082,Cinvestav Mérida,"Cinvestav Mérida, Mexico",Mexico,MX,ok,21.0215277,-89.6263545,geocode_csv,3,1,True,True,delegate_list;display_alias;geocode_csv;programme,"Cinvestav Merida; Cinvestav Mérida; Cinvestav Mérida, Mexico",False,,"Cinvestav Mérida, Mexico",,,True
icrs-a-00083,Citizens of the Reef,Citizens of the Reef,Australia,AU,fallback,-35.2809,149.13,capital_fallback,1,1,True,True,delegate_list;geocode_csv;programme,"Citizens of the Reef, Australia",False,,Citizens of the Reef,,,True
icrs-a-00084,Citizens of the Sea,Citizens of the Sea,New Zealand,NZ,fallback,-41.2865,174.7762,capital_fallback,1,1,True,False,delegate_list;geocode_csv,"Citizens of the Sea, New Zealand",False,,Citizens of the Sea,,,True
icrs-a-00085,Civil Society Forum of Tonga,Civil Society Forum of Tonga,Tonga,TO,ok,-21.1399022,-175.2065456,geocode_csv,1,1,True,False,delegate_list;geocode_csv,"Civil Society Forum of Tonga, Tonga",False,,Civil Society Forum of Tonga,,,True
icrs-a-00086,Clemson University,Clemson University,United States,US,ok,34.6749926,-82.8406184,geocode_csv,1,1,True,True,delegate_list;geocode_csv;programme,"Clemson University, United States",False,,Clemson University,,,True
icrs-a-00087,CMOANA Consulting,CMOANA Consulting,French Polynesia,PF,fallback,-17.5516,-149.5585,capital_fallback,1,1,True,True,delegate_list;geocode_csv;programme,"CMOANA Consulting, French Polynesia",False,,CMOANA Consulting,,,True
icrs-a-00088,CNRS/UPVD,CNRS/UPVD,France,FR,ok,42.6820471,2.8988581,geocode_csv,1,1,True,True,delegate_list;geocode_csv;programme,"CNRS/UPVD, France",False,,CNRS/UPVD,,,True
icrs-a-00089,CNRS,CNRS,France,FR,fallback,48.8566,2.3522,capital_fallback,1,2,True,True,delegate_list;geocode_csv;programme,"CNRS, France",False,,CNRS,,,True
icrs-a-00090,CNRS,CNRS,French Polynesia,PF,fallback,-17.5516,-149.5585,capital_fallback,1,1,True,True,delegate_list;geocode_csv;programme,"CNRS, French Polynesia",False,,CNRS,,,True
icrs-a-00091,Coastal and Marine Resource Development,Coastal and Marine Resource Development,Kenya,KE,fallback,-1.2921,36.8219,capital_fallback,1,1,True,False,delegate_list;geocode_csv,"Coastal and Marine Resource Development, Kenya",False,,Coastal and Marine Resource Development,,,True
icrs-a-00092,College of Charleston,College of Charleston,United States,US,ok,32.7834441,-79.9370018,geocode_csv,1,2,True,True,delegate_list;geocode_csv;programme,"College of Charleston, United States",False,,College of Charleston,,,True
icrs-a-00093,Colorado State University,Colorado State University,United States,US,ok,40.5729432,-105.0848391,geocode_csv,1,1,True,True,delegate_list;geocode_csv;programme,"Colorado State University, United States",False,,Colorado State University,,,True
icrs-a-00094,Columbia University,Columbia University,United States,US,ok,40.8075355,-73.9625727,geocode_csv,1,1,True,True,delegate_list;geocode_csv;programme,"Columbia University, United States",False,,Columbia University,,,True
icrs-a-00095,Commonwealth Scientific and Industrial Research,Commonwealth Scientific and Industrial Research,Australia,AU,fallback,-35.2809,149.13,capital_fallback,1,3,True,True,delegate_list;geocode_csv;programme,"Commonwealth Scientific and Industrial Research, Australia",False,,Commonwealth Scientific and Industrial Research,,,True
icrs-a-00096,Connecticut College,Connecticut College,United States,US,ok,41.3797568,-72.1043429,geocode_csv,1,1,True,True,delegate_list;geocode_csv;programme,"Connecticut College, United States",False,,Connecticut College,,,True
icrs-a-00097,Conservation International,Conservation International,New Caledonia,NC,ok,-22.2658388,166.4607968,geocode_csv,1,1,True,True,delegate_list;geocode_csv;programme,"Conservation International, New Caledonia",False,,Conservation International,,,True
icrs-a-00098,Conservation International,Conservation International,Samoa,WS,ok,-13.8381329,-171.7680701,geocode_csv,1,2,True,True,delegate_list;geocode_csv;programme,"Conservation International, Samoa",False,,Conservation International,,,True
icrs-a-00099,Conservation Metrics,Conservation Metrics,United States,US,ok,36.9530536,-122.0654221,geocode_csv,1,1,True,True,delegate_list;geocode_csv;programme,"Conservation Metrics, United States",False,,Conservation Metrics,,,True
icrs-a-00100,Conservation Society of Pohnpei,Conservation Society of Pohnpei,Brazil,BR,fallback,-15.7939,-47.8828,capital_fallback,2,1,True,True,delegate_list;geocode_csv;programme,"Conservation Society of Pohnpei Micronesia (the Federated States of), Brazil; Projeto Costão Rochoso, Brazil",False,,Conservation Society of Pohnpei,,,True
icrs-a-00101,Conservation Society of Pohnpei,Conservation Society of Pohnpei,Germany,DE,fallback,52.52,13.405,capital_fallback,1,1,True,False,delegate_list;geocode_csv,"Newcastle University, Germany",False,,Conservation Society of Pohnpei,,,True
icrs-a-00102,Conservation Society of Pohnpei,Conservation Society of Pohnpei,"Micronesia, Federated States of",FM,fallback,6.9147,158.161,capital_fallback,3,2,True,True,delegate_list;display_alias;geocode_csv;programme,"Conservation Society of Pohnpei; Conservation Society of Pohnpei Micronesia (the Federated States of); Conservation Society of Pohnpei, Micronesia, Federated States of",False,,Conservation Society of Pohnpei,,,True
icrs-a-00103,Cooperative Institute for Marine and Atmospheric Research,"Cooperative Institute for Marine and Atmospheric Research, United States",United States,US,fallback,38.9072,-77.0369,capital_fallback,6,0,False,False,display_alias,"Cooperative Institute Of Marine and Atmospheric Research; Cooperative Institute Of Marine and Atmospheric Research, United States; Cooperative Institute for Marine and Atmospheric Research; Cooperative Institute for Marine and Atmospheric Research, United States; Cooperative Institute of Marine and Atmospheric Research; Cooperative Institute of Marine and Atmospheric Research, United States",False,,"Cooperative Institute for Marine and Atmospheric Research, United States",,,False
icrs-a-00104,Cooperative Institute for Marine and Atmospheric,Cooperative Institute for Marine and Atmospheric,United States,US,ok,25.7321908,-80.1637945,geocode_csv,2,6,True,True,delegate_list;geocode_csv;programme,"Cooperative Institute For Marine and Atmospheric, United States; Cooperative Institute for Marine and Atmospheric, United States",False,,Cooperative Institute for Marine and Atmospheric,,,True
